date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:17	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2008%20May%202023%2015:30:50%20GMT	https://dashlite.net/robots.txt		(from )
12:01:18	75431/75431	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:17%20GMT	https://dashlite.net/demo7/pharmacy/	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/index.html	(from )
12:01:19	75431/75431	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:18%20GMT	https://dashlite.net/demo7/pharmacy/index.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/index-2.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:19	62697/62697	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:19%20GMT	https://dashlite.net/demo7/pharmacy/add-customer.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/add-customer.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:21	90356/90356	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:20%20GMT	https://dashlite.net/demo7/pharmacy/customer.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/customer.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:25	75733/75733	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:21%20GMT	https://dashlite.net/demo7/pharmacy/customer-ledger.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/customer-ledger.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:25	64337/64337	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:25%20GMT	https://dashlite.net/demo7/pharmacy/add-medicine.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/add-medicine.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:26	91491/91491	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:25%20GMT	https://dashlite.net/demo7/pharmacy/medicine-list.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/medicine-list.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:26	68264/68264	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:26%20GMT	https://dashlite.net/demo7/pharmacy/medicine-details.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/medicine-details.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:28	89165/89165	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:27%20GMT	https://dashlite.net/demo7/pharmacy/manufacturer.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/manufacturer.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:28	78853/78853	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:28%20GMT	https://dashlite.net/demo7/pharmacy/manufacturer-ledger.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/manufacturer-ledger.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:30	64184/64184	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:29%20GMT	https://dashlite.net/demo7/pharmacy/add-wastage-return.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/add-wastage-return.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:31	95014/95014	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:30%20GMT	https://dashlite.net/demo7/pharmacy/wastage-return.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/wastage-return.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:33	64367/64367	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:31%20GMT	https://dashlite.net/demo7/pharmacy/add-manufacturer-return.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/add-manufacturer-return.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:35	92614/92614	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:33%20GMT	https://dashlite.net/demo7/pharmacy/manufacturer-return.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/manufacturer-return.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:35	93999/93999	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:34%20GMT	https://dashlite.net/demo7/pharmacy/member.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/member.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:38	68491/68491	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:36%20GMT	https://dashlite.net/demo7/pharmacy/members-profile-regular.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/members-profile-regular.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:38	77971/77971	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:37%20GMT	https://dashlite.net/demo7/pharmacy/attendence.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/attendence.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:38	81874/81874	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:38%20GMT	https://dashlite.net/demo7/pharmacy/salary.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/salary.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:40	75413/75413	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:39%20GMT	https://dashlite.net/demo7/pharmacy/income-list.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/income-list.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:41	75692/75692	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:40%20GMT	https://dashlite.net/demo7/pharmacy/expense-list.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/expense-list.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:41	70159/70159	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:41%20GMT	https://dashlite.net/demo7/pharmacy/invoice-list.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/invoice-list.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:42	63103/63103	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:42%20GMT	https://dashlite.net/demo7/pharmacy/invoice-details.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/invoice-details.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:43	73896/73896	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:43%20GMT	https://dashlite.net/demo7/pharmacy/sales-report.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/sales-report.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:44	71626/71626	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:44%20GMT	https://dashlite.net/demo7/pharmacy/purchase-report.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/purchase-report.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:46	78391/78391	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:45%20GMT	https://dashlite.net/demo7/pharmacy/stock-report.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/stock-report.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:47	80168/80168	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:46%20GMT	https://dashlite.net/demo7/pharmacy/support.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/support.html	(from https://dashlite.net/demo7/pharmacy/)
12:01:47	65569/65569	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202025%2009:01:47%20GMT	https://dashlite.net/demo7/pharmacy/general-settings.html	/home/maquiz/templates/pharmacy/dashlite.net/demo7/pharmacy/general-settings.html	(from https://dashlite.net/demo7/pharmacy/)
